MSE, Q-LIKE
   0.88443,   1.96592
   0.42420,   1.95512
   0.20432,   1.33846
   1.05535,   0.97910
   0.00176,   1.34954
   3.18745,   2.61214
   0.52407,   1.90592
   0.33686,   1.83661
   0.00005,   1.63548
   0.08196,   1.60280
   6.59597,   3.03952
   0.12203,   1.94723
   0.24048,   1.93578
   0.91900,   1.41585
   0.31346,   1.96656
   0.05819,   1.69641
   0.01930,   1.60284
   0.65353,   1.50212
   0.23352,   1.62621
   1.08068,   1.39072
   0.22751,   1.48546
   0.00373,   1.82869
   0.11081,   1.90559
   0.04448,   1.71536
   1.23812,   1.31902
   0.04600,   1.42486
   0.72834,   1.23187
   0.41535,   0.90063
   0.02079,   1.48180
   0.00345,   1.16513
   0.01365,   1.28067
   1.61662,   2.24547
   0.08556,   1.21501
   0.00400,   1.24144
   0.02430,   1.04705
   0.31870,   0.83223
   0.07016,   0.92361
   0.06627,   1.34292
   0.09885,   0.61669
   0.02828,   0.71008
   0.01236,   0.74284
   0.04457,   0.47068
   0.29218,   1.43632
   0.07221,   0.53175
   0.12081,   0.20486
   0.13314,   1.13938
   0.03263,   0.72082
   0.22207,   1.32024
   0.03381,   0.90294
   0.00357,   0.80771
   0.30171,   1.50509
   0.07231,   1.24049
   0.00604,   1.06740
   0.00320,   1.04028
   0.11268,   1.41668
   0.01440,   1.23479
   0.05412,   1.43480
   0.00439,   1.12994
   0.03016,   1.30513
   0.13222,   0.88764
   0.27614,   0.79613
   0.12569,   0.62425
   0.39845,   1.62532
   0.09015,   1.45063
   0.03804,   1.42848
   0.11276,   1.04005
   0.09091,   1.53390
   0.00606,   1.40138
  10.49605,   3.59615
   0.01536,   1.73836
   0.00376,   1.60954
   0.12157,   1.42544
   7.30449,   3.06197
   0.93416,   1.38990
   0.09474,   1.42556
   0.10673,   1.23735
   0.68531,   1.00527
   0.00455,   1.16847
   0.18958,   0.88676
   2.50962,   2.48097
   1.01214,   0.99430
   0.03309,   1.44485
   0.24009,   1.70879
   0.08949,   1.64163
   0.22452,   1.15347
   0.05905,   1.16327
   0.00459,   1.17291
   0.00596,   1.08256
   0.05243,   0.97482
   0.18703,   0.70993
   0.13093,   0.71006
   0.04372,   0.57231
   1.97521,   2.53204
   0.03286,   0.77218
   0.01317,   0.81536
   0.10956,   1.10780
   0.00020,   0.81959
   0.58593,   1.73861
   0.00034,   1.21086
   0.05716,   0.84060
   0.01317,   0.92211
   0.03130,   1.29411
   0.06606,   0.87575
   0.03534,   0.80251
   0.01097,   1.12759
   0.14688,   0.43835
   0.00381,   0.72465
   0.02393,   0.58019
   0.11824,   0.22024
   0.00106,   0.68553
   0.04432,   0.57171
   0.00147,   0.64927
   0.06937,   1.07753
   0.00102,   0.82074
   0.00746,   0.89343
   0.02789,   0.97790
   0.11537,   1.30783
   0.04796,   1.27504
   0.03463,   1.21447
   1.68016,   2.28096
   0.09823,   0.97927
   0.17289,   1.47445
   0.12258,   0.85886
   0.31426,   1.58552
   0.05204,   0.95746
   0.03492,   1.10880
   0.24687,   1.51296
   0.03654,   1.24624
   0.03076,   1.62490
   0.06936,   1.23385
   0.00143,   1.47992
   0.52260,   1.79392
   0.13035,   1.72228
   0.07273,   1.74964
   0.80612,   2.07543
   0.05732,   1.73967
   3.17926,   2.57843
   0.00838,   1.60798
   0.83414,   1.16619
   0.48111,   0.98992
   0.08844,   1.24835
   6.31444,   3.06797
   0.38466,   1.94554
   0.24600,   1.37282
   0.00039,   1.53435
   0.51864,   1.86974
   0.29639,   1.04286
   0.02749,   1.06333
   0.01643,   1.00666
   0.04764,   1.17903
   0.32759,   0.67004
   0.49692,   1.72535
   0.12945,   0.95847
   0.21665,   0.76793
   0.02258,   1.01096
   0.14571,   1.40757
   0.05832,   1.15721
   0.14779,   1.48111
   0.00001,   1.28583
   0.00720,   1.28294
   0.47077,   0.87437
   0.35186,   0.89892
   0.27335,   0.90330
   0.11034,   1.32661
   0.03216,   1.30899
   0.02083,   1.30294
   0.00828,   1.34702
   0.69824,   0.72963
   0.26127,   0.55606
   0.15354,   0.62756
   0.09814,   1.22629
   1.99520,   2.43933
   0.17653,   0.77998
   0.01906,   0.82673
   0.00541,   0.99336
   0.00076,   0.84383
   0.14940,   1.25905
   0.03874,   0.77199
   0.09918,   1.19492
   0.01453,   0.94586
   0.00623,   0.60374
   0.59022,   1.74036
   0.00002,   1.21969
   0.58860,   1.86749
   0.28238,   1.66470
   0.00062,   1.04858
   0.04546,   1.20330
   0.25976,   0.88728
   0.04088,   1.10271
   0.35052,   1.71780
   0.00261,   1.36398
   0.01109,   1.53203
   0.24534,   1.08193
   0.01142,   1.25251
   0.06141,   1.01062
   0.05111,   1.53360
   0.63338,   1.13694
   0.01962,   1.15940
   5.57833,   3.14853
   0.44209,   1.85580
   0.14827,   1.01499
   0.00292,   1.32756
   1.73167,   2.27639
