MSE, Q-LIKE
   0.68653,   1.89288
   0.01141,   1.57858
   0.88991,   1.07212
   0.43195,   0.95562
   0.11117,   1.51355
   2.86523,   2.56409
   9.29441,   3.44213
   0.00002,   1.53678
   0.00904,   1.44902
   0.43915,   1.81610
   0.07390,   1.48809
   0.47538,   1.97904
   0.07927,   1.71558
   1.76182,   1.37662
   1.82577,   2.32076
   1.40222,   1.11309
   0.65056,   1.16106
   0.06587,   1.55715
   1.32726,   2.27726
   0.81982,   1.32724
   0.64860,   2.08866
   1.16223,   2.35260
   0.13458,   1.95495
   0.09249,   1.70907
   1.25882,   1.36573
   0.01978,   1.64615
   0.63264,   1.23841
   0.00902,   1.34780
   0.02409,   1.27898
   0.29998,   1.65580
   0.25214,   1.10046
   0.01816,   1.45360
   0.34061,   0.84046
   0.00617,   1.19969
   0.09719,   0.82475
   0.10817,   0.84977
   0.02115,   1.18492
   0.43923,   0.50699
   0.11550,   0.52976
   0.05242,   0.50349
   0.17266,   0.27062
   0.00753,   0.66129
   0.19045,   1.27802
   0.12327,   0.30783
   0.02563,   0.87624
   0.01072,   0.66193
   0.01955,   0.55719
   0.20621,   1.27498
   0.12782,   1.19072
   0.14225,   1.23111
   0.01645,   1.00533
   0.04000,   1.06328
   0.02890,   1.11935
   0.05917,   0.63768
   1.36021,   2.17456
   0.03802,   1.12888
   0.22649,   0.91384
   0.04627,   0.74497
   0.53095,   1.69509
   0.01137,   0.72662
   0.04839,   1.16168
   0.36734,   0.41675
   0.01889,   0.94643
   0.01322,   1.02287
   0.01906,   1.11231
   0.00515,   1.07987
   2.66687,   2.68056
   0.21700,   1.57961
  19.58736,   4.53588
   4.80931,   2.82576
   0.00290,   1.73484
   0.24534,   1.48146
   0.02507,   1.49448
   0.06435,   1.62720
   0.16505,   1.22421
   0.00198,   1.18953
   0.35548,   0.90502
   0.00882,   1.14233
   0.13321,   1.46690
   0.94217,   2.01710
   1.09150,   1.19215
   0.00921,   1.25118
   0.00000,   1.13022
   0.42049,   1.12081
   0.14551,   1.03289
   0.00050,   1.21559
   0.14244,   0.70336
   1.59749,   2.27602
