,EM (Emerging Markets),China,India,Indonesia,Korea,Malaysia -EM,Pakistan,Philippines,Sri Lanka,Taiwan,Thailand,Brazil,Chile,Colombia,Mexico,Peru,Venezuela,Czech Republic,Egypt,Greece,Hungary,Poland,Qatar,Russia,Russia ADR/GDR Index,South Africa,Turkey,United Arab Emirates
4/15/99,0,0.506784651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547548914,0,3.271166371,1.537614028,0.920839141,0,0,0,0,0,0
4/16/99,0,0.52333946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544375126,0,3.192155069,1.563128861,0.934219568,0,0,0,0,0,0
4/19/99,0,0.531448427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554477464,0,3.036534828,1.558376823,0.970345312,0,0,0,0,0,0
4/20/99,0,0.535810257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550731328,0,3.017351021,1.576255459,0.980094949,0,0,0,0,0,0
4/21/99,0,0.55999373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553097891,0,3.020244667,1.59891236,0.995719542,0,0,0,0,0,0
4/22/99,0,0.559820161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557561912,0,2.993455594,1.606627608,1.27427212,0,0,0,0,0,0
4/23/99,0,0.57451319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559727573,0,3.035224808,1.607112493,1.273625864,0,0,0,0,0,0
4/26/99,0,0.567061095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564218044,0,2.978549524,1.606488181,1.263243608,0,0,0,0,0,0
4/27/99,0,0.566116608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566858017,0,3.135960917,1.616554332,1.272455071,0,0,0,0,0,0
4/28/99,0,0.548741815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563484377,0,3.219562482,1.59492366,1.263231566,0,0,0,0,0,0
4/29/99,0,0.540139458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559753324,0,3.180740822,1.567346147,1.226540998,0,0,0,0,0,0
4/30/99,0,0.602550269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562736137,0,3.296906169,1.581573514,1.255267833,0,0,0,0,0,0
5/3/99,0,0.590265744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568174297,0,3.424914254,1.603487247,1.253998431,0,0,0,0,0,0
5/4/99,0,0.607095148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573161462,0,3.412530146,1.651086053,1.293230312,0,0,0,0,0,0
5/5/99,0,0.615852801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570787913,0,3.394439916,1.659437224,1.273657623,0,0,0,0,0,0
