,Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Hong Kong,Ireland,Israel,Italy,Japan,Netherlands,New Zealand,Norway,Portugal,Singapore,Spain,Sweden,Switzerland,United Kingdom,USA
4/22/99,20.72339111,14.16367839,21.04998211,22.09692612,18.85411101,29.27994504,22.66170468,20.98985188,18.40298515,16.65640801,0,22.91763086,0,25.17596153,0,15.27898078,15.85331404,34.16027308,21.5537993,21.72050998,22.15139688,21.53163329,24.33247524
4/23/99,20.73263421,14.28769369,20.93265125,22.14252155,18.62130266,28.3045412,22.50403039,20.8530886,18.42648467,16.53996376,0,22.8332149,0,25.1457364,0,15.1697738,15.86851966,33.99880138,21.80078784,21.72743815,22.11891428,21.54246305,24.28940417
4/26/99,20.57186451,14.24454122,20.9797074,22.18484196,18.6211963,27.84461226,22.58520116,21.12410227,18.76923169,16.61339029,0,22.60316111,0,25.26729434,0,15.01053525,15.83690723,34.50560085,21.75356097,22.1048407,22.40053312,21.74045131,24.33197318
4/27/99,20.42105259,14.31455305,21.08267005,22.19424678,19.12697482,28.39616249,23.15020352,21.56975151,19.13995146,16.86610506,0,23.09429438,0,25.75498347,0,15.09684586,16.02873397,34.84542027,22.09545594,22.37113439,22.77238932,22.04593499,24.29688698
4/28/99,20.31335294,14.18925643,20.94935142,22.32492603,19.45165984,27.46880025,22.97420235,21.52975905,18.63917774,16.82009706,0,22.92160156,0,25.88662913,0,14.92596128,16.14580675,34.37231003,21.91843084,22.21664795,22.69996657,22.00720174,24.08140556
4/29/99,20.10651004,14.3045831,20.90196205,22.15575257,19.64077226,26.95298141,22.97995798,21.52888705,18.61798803,16.71411781,0,22.84968989,0,25.94559149,0,15.07912696,15.92939843,33.59637093,21.9034143,22.23660787,22.47230917,21.66328068,23.91385233
4/30/99,20.10914766,14.37307396,20.81570412,21.75134997,19.63159324,27.94102115,23.16074012,21.6114967,18.96964514,16.72460448,0,23.00291188,0,25.93971494,0,15.0491771,15.77883549,35.34523564,21.83695433,22.0649304,22.61591291,21.81914404,23.72465484
5/3/99,19.91120626,14.33934633,21.02622605,21.93981247,20.02372628,27.28977834,23.38730127,21.56817017,19.03321,16.69778527,0,23.07136193,0,26.01375088,0,15.17488377,15.79468402,35.41529282,22.08197813,22.6166649,22.84537735,21.83743772,23.98618746
5/4/99,19.97528192,14.4985781,20.98814848,21.88877225,19.78174202,26.66683329,23.37148051,21.63051915,19.36190247,16.5941332,0,23.07200513,0,26.10558514,0,15.379074,15.56286265,36.63262644,21.91430749,22.6002869,22.6470956,21.78384244,23.57898946
5/5/99,19.67659103,14.28387197,20.82834831,21.77401345,19.41147628,26.24879498,22.96510265,21.2566889,19.61137984,16.50248398,0,22.90423829,0,25.65957134,0,15.20933843,15.49553493,37.69099933,21.90704934,22.15961527,22.36508217,21.40512535,23.85603956
