,EM (Emerging Markets),China,India,Indonesia,Korea,Malaysia -EM,Pakistan,Philippines,Sri Lanka,Taiwan,Thailand,Brazil,Chile,Colombia,Mexico,Peru,Venezuela,Czech Republic,Egypt,Greece,Hungary,Poland,Qatar,Russia,Russia ADR/GDR Index,South Africa,Turkey,United Arab Emirates
4/15/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378386927,0,4.365032915,2.076001377,1.210729546,0,0,0,0,0,0
4/16/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.376211192,0,4.135290257,2.109999306,1.232613632,0,0,0,0,0,0
4/19/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.383181568,0,3.888978537,2.098333597,1.286377046,0,0,0,0,0,0
4/20/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.380558979,0,3.862837769,2.121924971,1.306170105,0,0,0,0,0,0
4/21/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.382212121,0,3.8440011,2.151936593,1.307996238,0,0,0,0,0,0
4/22/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.3847414,0,3.781500174,2.164112253,1.662987343,0,0,0,0,0,0
4/23/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.386232031,0,3.827670747,2.164268602,1.664861984,0,0,0,0,0,0
4/26/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.389687726,0,3.747629513,2.161936667,1.661307597,0,0,0,0,0,0
4/27/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.391391771,0,3.969141414,2.173931859,1.673523585,0,0,0,0,0,0
4/28/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.388658513,0,4.089499942,2.144340819,1.651926026,0,0,0,0,0,0
4/29/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.386226838,0,4.037336052,2.106160204,1.605178249,0,0,0,0,0,0
4/30/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.387992756,0,4.180850081,2.124671647,1.638183447,0,0,0,0,0,0
5/3/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.391743501,0,4.350668214,2.153075475,1.63690835,0,0,0,0,0,0
5/4/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.395099023,0,4.341024793,2.21561519,1.688874933,0,0,0,0,0,0
5/5/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.393512303,0,4.310974876,2.226292292,1.662217773,0,0,0,0,0,0
5/6/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.401339116,0,4.509434109,2.32563805,1.679329502,0,0,0,0,0,0
5/7/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.401518484,0,4.544156236,2.2896937,1.679868263,0,0,0,0,0,0
5/10/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.409272504,0,4.434924891,2.244546421,1.656992324,0,0,0,0,0,0
5/11/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.440905278,0,4.515864977,2.270416837,1.642057698,0,0,0,0,0,0
5/12/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.425057811,0,4.48635828,2.268468767,1.65317055,0,0,0,0,0,0
5/13/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.435371531,0,4.374210085,2.254149569,1.63797085,0,0,0,0,0,0
5/14/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.437472315,0,4.43260453,2.257693714,1.648494398,0,0,0,0,0,0
5/17/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.429935862,0,4.283649567,2.232610422,1.606086247,0,0,0,0,0,0
5/18/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.433905773,0,4.469562731,2.24606052,1.641476842,0,0,0,0,0,0
5/19/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.458825474,0,4.455515688,2.315156642,1.689878493,0,0,0,0,0,0
5/20/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.469345225,0,4.515200112,2.28150554,1.648162572,0,0,0,0,0,0
5/21/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.482893166,0,4.556709944,2.303094612,1.694572288,0,0,0,0,0,0
5/24/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.501143125,0,4.515664718,2.280961711,1.678737732,0,0,0,0,0,0
5/25/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.505374447,0,4.456705866,2.219228612,1.651385418,0,0,0,0,0,0
5/26/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.485305992,0,4.267750493,2.254644261,1.649662069,0,0,0,0,0,0
5/27/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.463807997,0,4.19687116,2.225890939,1.666755339,0,0,0,0,0,0
5/28/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.470404755,0,4.160984393,2.18838827,1.626513778,0,0,0,0,0,0
5/31/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.484422089,0,4.169836648,2.248258433,1.624390301,0,0,0,0,0,0
6/1/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.485394406,0,4.387800621,2.16952079,1.630424769,0,0,0,0,0,0
6/2/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.475174848,0,4.358373045,2.105927592,1.64649905,0,0,0,0,0,0
6/3/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.474973918,0,4.43305595,2.137776826,1.646036362,0,0,0,0,0,0
6/4/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.467641485,0,4.357986922,2.14739273,1.645541124,0,0,0,0,0,0
6/7/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.460358755,0,4.38462304,2.098458497,1.650763159,0,0,0,0,0,0
6/8/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.453892949,0,4.347192284,2.109959275,1.619635918,0,0,0,0,0,0
6/9/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.454071696,0,4.369519835,2.133663158,1.612137486,0,0,0,0,0,0
6/10/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.442096135,0,4.331771575,2.134594117,1.662106617,0,0,0,0,0,0
6/11/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.450567712,0,4.310627651,2.133557654,1.685370649,0,0,0,0,0,0
6/14/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.463464408,0,4.255384444,2.117615477,1.745721558,0,0,0,0,0,0
6/15/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.474634121,0,4.334658852,2.130476435,1.757277281,0,0,0,0,0,0
6/16/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.475102026,0,4.349376712,2.154992199,1.752054173,0,0,0,0,0,0
6/17/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.471659529,0,4.341107085,2.153112721,1.762311563,0,0,0,0,0,0
6/18/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.467023903,0,4.340121341,2.163307225,1.774246768,0,0,0,0,0,0
6/21/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.472510471,0,4.336662179,2.155233301,1.789857163,0,0,0,0,0,0
6/22/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.469323505,0,4.259375994,2.123886719,1.816388423,0,0,0,0,0,0
6/23/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.457079692,0,4.174762859,2.093901567,1.782046366,0,0,0,0,0,0
6/24/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.46224674,0,4.174401858,2.117056244,1.813597939,0,0,0,0,0,0
6/25/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.45861152,0,4.169280782,2.107822601,1.822565464,0,0,0,0,0,0
6/28/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.460531003,0,4.159549987,2.101753108,1.852792875,0,0,0,0,0,0
6/29/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.454820852,0,4.160768735,2.084712946,1.834001748,0,0,0,0,0,0
6/30/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.458994756,0,4.191030506,2.058691759,1.803823768,0,0,0,0,0,0
7/1/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.471202029,0,4.278826285,2.076093946,1.877946606,0,0,0,0,0,0
7/2/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.461764136,0,4.30051109,2.100614567,1.872056679,0,0,0,0,0,0
7/5/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.461220785,0,4.467146406,2.152041331,1.849330732,0,0,0,0,0,0
7/6/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.461187131,0,4.404947298,2.183566737,1.836638938,0,0,0,0,0,0
7/7/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.467694371,0,4.371320848,2.183544624,1.805945972,0,0,0,0,0,0
7/8/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.467667696,0,4.304729743,2.212799115,1.831347835,0,0,0,0,0,0
