,Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Hong Kong,Ireland,Israel,Italy,Japan,Netherlands,New Zealand,Norway,Portugal,Singapore,Spain,Sweden,Switzerland,United Kingdom,USA
4/22/99,0,0.746071777,1.322045497,0,1.340790512,1.961466043,1.049871386,0.906091943,5.020404888,1.704489283,0,1.255052395,0,1.530997137,0,0.738854871,1.505874829,0,2.228113085,1.480150718,2.175078651,1.975872918,2.362072354
4/23/99,0,0.754651989,1.315223042,0,1.32451557,1.89811447,1.042423002,0.90166074,5.026706461,1.692853175,0,1.249924901,0,1.530313092,0,0.734327214,1.50219176,0,2.246501185,1.47776585,2.172885267,1.976562072,2.35819899
4/26/99,0,0.749326331,1.31281268,0,1.325117617,1.867460924,1.047487041,0.910050734,5.120532641,1.844992113,0,1.254755441,0,1.526330952,0,0.727289097,1.499169753,0,2.231712081,1.497302492,2.199934079,1.995168203,2.323776074
4/27/99,0,0.753085718,1.320119448,0,1.356560496,1.910607156,1.073563994,0.929987583,5.221828022,1.875727259,0,1.282357187,0,1.552596668,0,0.728307514,1.516319569,0,2.270436936,1.512073661,2.236232028,2.02530456,2.320662066
4/28/99,0,0.745941383,1.312317835,0,1.380474437,1.852540049,1.069333237,0.928045638,5.094929856,1.864498093,0,1.270418568,0,1.561525935,0,0.723749219,1.521751686,0,2.255300529,1.495627663,2.22911082,2.025730056,2.291658624
4/29/99,0,0.752251176,1.309319336,0,1.394287808,1.826518082,1.069297662,0.928553861,5.088973139,1.853761263,0,1.26467597,0,1.557595673,0,0.730935277,1.502258518,0,2.278591671,1.492575495,2.20825317,1.989585073,2.268022416
4/30/99,0,0.756764843,1.305938907,0,1.394751999,1.88896255,1.07461718,0.932658935,5.102424974,1.856433941,0,1.274584798,0,1.555435567,0,0.728195214,1.48788132,0,2.25812397,1.480914834,2.23660604,2.00669698,2.244473922
5/3/99,0,0.7652302,1.319692216,0,1.421211902,1.846072125,1.087067148,0.931857468,5.117073461,1.858017009,0,1.273811272,0,1.560554524,0,0.740610991,1.492588301,0,2.28270619,1.567785972,2.287787322,2.00732741,2.269595357
5/4/99,0,0.774412993,1.317356807,0,1.426848894,1.826318643,1.086253097,0.933973257,5.20610429,1.846630228,0,1.270994182,0,1.569351955,0,0.752224508,1.471438306,0,2.263114784,1.571149165,2.270504006,2.001358068,2.230237623
5/5/99,0,0.762553437,1.307728266,0,1.40542512,1.797944012,1.069761446,0.917182816,5.279410283,1.834347049,0,1.259820206,0,1.53707773,0,0.747099914,1.461707105,0,2.262674042,1.543147376,2.229756127,1.966332967,2.263661863
5/6/99,0,0.7562336,1.294506637,0,1.403599921,1.781943759,1.063242708,0.91482591,5.263788648,1.763537185,0,1.260087337,0,1.520831886,0,0.736350711,1.461292475,0,2.277346898,1.51948867,2.223020906,1.971797495,2.237436024
5/7/99,0,0.747169165,1.284736012,0,1.407832788,1.808202441,1.053428195,0.914239317,4.986242149,1.750992317,0,1.255287033,0,1.640858179,0,0.72166339,1.500547915,0,2.296023685,1.514034694,2.216451804,1.954986333,2.257100962
5/10/99,0,0.737473505,1.296554747,0,1.399469273,1.839853949,1.06416676,0.901971439,5.047759771,1.723764913,0,1.25340225,0,1.608093603,0,0.726764606,1.531291175,0,2.288055902,1.518109783,2.236975801,1.944256201,2.247445988
5/11/99,0,0.724969197,1.31292714,0,1.392496261,1.864500961,1.063608261,0.908593479,4.940426218,1.71283218,0,1.240841952,0,1.60106239,0,0.718055635,1.544004885,0,2.287707212,1.530990705,2.22727257,1.941606746,2.275288813
5/12/99,0,0.824088953,1.300351602,0,1.37320866,1.889043763,1.06590795,0.9085249,5.019805883,1.742186863,0,1.224791758,0,1.586915423,0,0.69834755,1.53318322,0,2.29150293,1.537039222,2.216912253,1.932883807,2.288937603
5/13/99,0,0.824290464,1.300241268,0,1.371371105,1.884936624,1.077720904,0.908444898,5.059528018,1.739842074,0,1.228937573,0,1.588763748,0,0.69821853,1.53691982,0,2.301145937,1.53649313,2.217524071,1.972169049,2.289263007
5/14/99,0,0.829837808,1.277662338,0,1.379180165,1.854868195,1.05396985,0.896681223,4.964095008,1.720122802,0,1.200935365,0,1.571656647,0,0.690875418,1.547259422,0,2.274117927,1.517068482,2.199394473,1.923667226,2.236693781
