,EM (Emerging Markets),China,India,Indonesia,Korea,Malaysia -EM,Pakistan,Philippines,Sri Lanka,Taiwan,Thailand,Brazil,Chile,Colombia,Mexico,Peru,Venezuela,Czech Republic,Egypt,Greece,Hungary,Poland,Qatar,Russia,Russia ADR/GDR Index,South Africa,Turkey,United Arab Emirates
4/15/99,0,7.134354023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.119742058,0,21.14913664,10.27375771,14.32138177,0,0,0,0,0,0
4/16/99,0,7.386849536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.284939482,0,20.05336033,10.44958941,14.64808047,0,0,0,0,0,0
4/19/99,0,7.578105572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.394574822,0,18.88744068,10.44620485,15.20684801,0,0,0,0,0,0
4/20/99,0,7.639251759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.335850342,0,18.81443847,10.563181,15.5098198,0,0,0,0,0,0
4/21/99,0,7.963902806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.306464545,0,18.6302182,10.77405428,14.96006568,0,0,0,0,0,0
4/22/99,0,8.022323027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.338766517,0,18.30727791,10.82288629,15.52634722,0,0,0,0,0,0
4/23/99,0,8.218687654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.358191771,0,18.61766004,10.82098105,15.54104755,0,0,0,0,0,0
4/26/99,0,8.121238829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.393096952,0,18.2382693,10.80723958,15.49380992,0,0,0,0,0,0
4/27/99,0,8.112102516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.417415529,0,19.3075543,10.86664519,15.60629516,0,0,0,0,0,0
4/28/99,0,7.878148626,0,0,0,0,0,0,0,0,0,0,0,0,12.52281631,0,0,7.360485045,0,19.85546206,10.71245239,15.4046275,0,0,0,0,0,0
4/29/99,0,7.719606402,0,0,0,0,0,0,0,0,0,0,0,0,12.65991878,0,0,7.303959843,0,19.61720793,10.52376506,15.04820606,0,0,0,0,0,0
