,EM (Emerging Markets),China,India,Indonesia,Korea,Malaysia -EM,Pakistan,Philippines,Sri Lanka,Taiwan,Thailand,Brazil,Chile,Colombia,Mexico,Peru,Venezuela,Czech Republic,Egypt,Greece,Hungary,Poland,Qatar,Russia,Russia ADR/GDR Index,South Africa,Turkey,United Arab Emirates
4/15/99,358.555,29.491,88.877,122.732,104.951,111.58017,38.612,303.299,58.724,289.886,98.489,634.38165,678.595,81.229,1472.131,157.51451,96.91,64.373,169.976,653.718,253.32,424.727,#N/A,98.559,#N/A,154.565,189.333,#N/A
4/16/99,366.783,30.537,94.793,133.546,106.928,115.554726,38.325,312.21,58.516,289.072,114.192,640.565,687.862,82.252,1488.154,167.94742,106.629,63.442,169.976,637.003,256.88,427.576,#N/A,104.216,#N/A,158.178,198.458,#N/A
4/19/99,371.844,31.598,91.443,140.839,116.058,118.69406,39.135,329.56,58.022,296.555,118.412,627.1128,707.32,85.374,1487.852,176.8116,106.629,64.395,168.288,598.752,255.977,444.231,#N/A,107.344,#N/A,162.041,196.259,#N/A
4/20/99,369.435,32.666,91.6,134.473,117.3,119.97769,40.423,330.041,56.967,296.893,113.731,597.82935,718.11,85.163,1459.788,175.51643,107.541,64.152,167.695,599.511,259.614,453.413,#N/A,102.674,#N/A,159.615,217.401,#N/A
4/21/99,364.423,33.045,92.189,131.566,112.561,119.128716,39.44,326.609,56.858,290.331,111.877,597.82935,703.417,85.663,1447.367,175.39151,106.927,64.032,170.099,593.887,263.179,453.747,#N/A,101.204,#N/A,155.767,213.623,#N/A
4/22/99,366.091,33.644,90.761,130.212,111.847,123.41182,39.88,331.742,56.498,290.434,112.171,611.0287,684.773,87.653,1501.204,176.14003,110.317,64.299,173.41,583.735,264.827,458.011,#N/A,106.48,#N/A,154.774,218.417,#N/A
4/23/99,368.695,33.159,90.436,129.392,114.326,125.504776,40.874,337.659,56.356,295.022,113.774,615.3742,669.01,88.501,1505.107,176.7491,115.901,64.997,173.41,593.7,265.424,462.847,#N/A,110.615,#N/A,154.66,218.953,#N/A
4/26/99,367.868,32.866,85.933,128.8,119.01,130.83105,40.937,337.423,56.925,294.454,121.095,598.93994,657.899,90.904,1481.72,175.094,118.269,65.29,173.534,580.479,264.984,461.454,#N/A,111.709,#N/A,155.929,222.006,#N/A
4/27/99,369.436,33.368,85.973,128.982,121.973,130.23264,40.937,337.993,57.415,291.266,123.371,596.70044,644.188,92.097,1481.489,175.01753,118.065,66.059,172.844,616.104,267.16,466.216,#N/A,110.538,#N/A,155.923,221.564,#N/A
4/28/99,372.83,32.643,86.825,132.149,121.131,128.92912,41.641,341.942,57.777,288.142,121.375,616.74475,662.441,93.246,1504.788,174.0886,119.645,65.669,171.396,634.314,263.01,460.931,#N/A,107.813,#N/A,158.574,229.589,#N/A
