,Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Hong Kong,Ireland,Israel,Italy,Japan,Netherlands,New Zealand,Norway,Portugal,Singapore,Spain,Sweden,Switzerland,United Kingdom,USA
4/22/99,363.592,916.188,1513.072,613.207,1712.423,516.13,1210.437,1364.542,5337.775,424.525,123.968,435.311,2558.908,2081.31,94.054,1113.728,138.445,1976.331,368.062,3348.392,2553.325,1276.302,1330.249
4/23/99,365.664,928.641,1512,616.909,1703.696,504.39,1207.575,1362.737,5344.845,424.744,123.9,436.913,2598.583,2092.054,94.576,1109.439,138.506,1978.695,373.872,3365.821,2555.902,1282.159,1329.312
4/26/99,363.624,928.806,1508.939,615.687,1696.565,496.283,1209.629,1376.719,5445.556,422.523,123.39,431.03,2617.262,2093.877,94.904,1098.754,137.754,1985.648,372,3400.523,2582.462,1294.045,1333.208
4/27/99,367.343,939.108,1523.517,614.35,1749.008,510.45,1244.968,1412.626,5559.824,430.379,120.122,440.835,2611.103,2143.833,97.108,1106.043,139.807,1987.759,380.188,3455.466,2631.793,1314.781,1332.906
4/28/99,367.51,930.017,1512.062,618.212,1776.994,495.606,1239.635,1404.737,5423.493,432.241,117.812,437.076,2627.842,2153.52,97.91,1093.823,140.168,1942.027,377.19,3416.946,2617.902,1312.991,1320.313
4/29/99,367.579,934.21,1503.102,617.556,1791.222,488.641,1235.553,1395.395,5418.219,426.808,117.436,434.435,2628.504,2149.699,99.837,1103.773,138.118,1926.302,375.564,3414.084,2586.196,1288.42,1312.536
4/30/99,369.238,938.087,1495.455,612.35,1790.737,503.621,1243.938,1394.822,5490.048,426.745,117.177,437.26,2593.096,2147.365,99.536,1104.535,137.489,2009.138,374.551,3389.02,2590.106,1298.891,1303.917
5/3/99,366.134,943.564,1509.538,618.047,1824.142,493.358,1254.57,1399.953,5512.09,426.261,120.455,437.056,2576.69,2153.716,98.291,1118.775,137.673,2007.458,378.584,3453.209,2623.065,1298.891,1322.32
5/4/99,366.86,958.076,1513.155,620.226,1830.458,488.747,1258.587,1408.729,5606.098,427.442,121.887,438.051,2559.537,2171.066,98.166,1143.538,136.291,2033.837,377.275,3470.435,2611.048,1302.442,1300.509
5/5/99,361.256,950.53,1512.028,616.205,1807.875,484.318,1246.998,1393.573,5685.854,428.276,120.736,437.057,2557,2149.102,95.988,1139.882,135.776,2069.412,379.794,3412.651,2606.468,1284.156,1316.914
5/6/99,366.498,948.719,1511.37,613.443,1818.474,485.254,1249.597,1405.101,5670.345,429.038,122.899,441.216,2656.524,2156.32,98.134,1135.478,137.334,2078.662,385.95,3392.369,2610.823,1290.9,1301.664
5/7/99,359.641,940.827,1502.403,608.579,1833.479,495.136,1239.475,1401.42,5402.614,424.402,123.357,439.693,2630.002,2167.331,96.253,1118.027,140.673,2006.82,389.613,3397.493,2603.43,1277.135,1312.176
5/10/99,360.209,931.015,1519.219,613.505,1825.568,503.39,1256.956,1399.704,5469.391,418.804,122.83,439.022,2636.052,2153.94,96.035,1133.021,145.355,1978.458,390.969,3427.221,2609.495,1271.893,1308.776
5/11/99,360.639,909.746,1526.822,619.322,1799.85,506.75,1247.664,1400.251,5360.378,414.044,123.355,431.507,2586.534,2128.393,95.06,1123.617,145.539,2008.208,388.314,3429.459,2586.05,1270.594,1323.8
5/12/99,362.242,888.81,1506.21,616.002,1761.749,510.486,1241.268,1381.743,5445.644,417.018,124.13,425.006,2591.213,2098.749,95.164,1085.477,143.631,1998.764,387.172,3419.893,2567.257,1262.102,1330.539
5/13/99,364.254,884.979,1499.719,620.636,1754.355,508.286,1250.223,1375.788,5488.448,415.301,124.602,425.1,2555.432,2089.704,96.232,1081.084,143.585,1971.158,388.418,3403.673,2559.423,1283.69,1333.668
5/14/99,366.179,897.223,1485.357,601.132,1777.66,504.599,1235.497,1368.783,5388.824,412.601,125.507,419.285,2532.248,2084.187,97.463,1076.653,143.9,1982.951,386.724,3380.809,2544.915,1254.394,1304.607
5/17/99,358.096,880.187,1449.953,602.412,1754.726,500.241,1210.418,1340.454,5277.529,405.695,126.069,410.074,2457.786,2044.6,95.226,1075.147,140.115,2008.09,377.746,3342.041,2487.92,1227.321,1309.268
5/18/99,361.515,875.773,1446.866,607.724,1753.293,497.784,1225.656,1352.658,5287.83,402.546,125.793,416.15,2469.829,2057.863,94.842,1068.123,142.095,2094.134,378.145,3389.623,2518.484,1236.459,1303.057
5/19/99,354.547,883.312,1476.307,613.966,1775.319,496.625,1245.409,1364.159,5174.434,401.274,125.822,426.061,2390.762,2074.485,91.993,1060.62,142.659,2078.687,385.266,3459.295,2527.582,1246.825,1314.749
5/20/99,351.26,882.267,1486.119,611.031,1795.027,498.784,1256.062,1374.981,5174.106,401.512,125.819,426.675,2401.712,2094.88,88.981,1066.967,141.751,2083.691,383.225,3486.128,2541.784,1260.843,1309.449
5/21/99,350.013,869.587,1480.009,612.735,1780.043,495.191,1244.45,1364.583,5118.263,397.931,125.577,428.415,2422.879,2094.299,89.695,1072.075,140.251,2107.451,383.046,3445.289,2503.066,1250.15,1300.384
5/24/99,349.576,871.029,1482.463,614.25,1782.713,476.401,1246.513,1366.846,5194.527,400.767,121.854,424.015,2437.833,2097.772,89.944,1070.221,140.68,2079.297,381.67,3449.024,2510.745,1235.759,1277.452
5/25/99,343.359,840.71,1478.479,598.26,1779.045,479.808,1241.618,1344.92,5161.057,394.327,118.538,423.961,2439.212,2087.742,85.423,1057.788,140.256,2027.789,381.177,3427.023,2475.242,1226.43,1255.553
5/26/99,340.687,835.109,1443.638,591.482,1758.889,473.11,1227.331,1331.438,5197.771,389.37,119.801,417.238,2452.395,2057.909,84.446,1051.891,139.226,2007.899,375.031,3377.699,2455.114,1221.158,1275.874
5/27/99,339.931,839.218,1414.789,584.253,1746.202,470.94,1211.097,1301.447,5130.118,385.962,121.388,411.746,2450.213,2030.437,85.996,1043.786,139.941,2031.794,370.439,3331.011,2404.457,1215.597,1253.584
5/28/99,340.183,821.468,1418.101,592.882,1744.842,474.625,1206.329,1309.059,5034.56,378.159,121.76,411.851,2462.172,2021.827,85.778,1036.581,139.672,2034.736,371.835,3310.533,2418.977,1223.872,1272.252
5/31/99,338.285,819.69,1410.143,594.825,1739.126,476.251,1213.93,1308.676,5038.281,377.176,120.918,413.343,2445.673,2021.859,82.747,1041.603,140.178,2037.404,372.822,3313.174,2457.376,1224.521,1272.252
6/1/99,337.703,834.937,1417.773,594.273,1705.821,488.963,1208.533,1300.081,5121.956,376.372,121.126,410.569,2510.02,2029.333,83.931,1057.887,139.869,2041.912,373.824,3316.224,2452.952,1234.977,1263.525
6/2/99,339.35,829.451,1391.579,596.162,1698.414,479.263,1196.207,1291.135,5136.154,379.24,118.429,405.741,2523.936,2019.529,85.185,1048.603,137.228,2060.746,370.809,3321.843,2460.896,1248.01,1266.558
6/3/99,344.965,829.011,1395.022,603.203,1716.88,482.221,1205.753,1290.449,5133.485,383.714,117.643,412.686,2481.497,2048.383,84.946,1041.339,137.155,2077.763,376.281,3377.522,2487.808,1252.356,1271.362
