MSE, Q-LIKE
   4.73248,   3.11718
   0.29549,   1.08492
   0.17545,   0.99178
   0.01233,   1.01987
   0.81016,   1.90154
   0.74506,   1.89406
   0.77806,   1.18416
   0.05291,   1.36362
   0.02467,   1.11723
   0.02097,   1.21801
   2.26960,   2.50750
   0.02684,   1.44566
   1.10046,   1.23029
   0.00413,   1.63523
   0.03496,   1.44796
   0.06298,   1.40320
   1.81590,   2.30046
   7.40478,   3.10337
   0.28317,   1.55774
   0.89579,   2.19744
   1.37887,   2.25920
   1.13563,   2.29381
   0.90978,   2.21132
   1.95033,   1.18630
   0.36774,   1.28817
   0.12870,   1.46145
   0.29040,   1.08506
   0.15644,   0.87611
   0.05170,   1.29522
   0.04549,   1.26355
   0.00675,   1.21905
   0.18663,   0.84145
   0.06096,   0.96735
   0.01567,   0.73180
   0.09877,   0.65551
   0.01841,   0.79187
   0.06632,   0.41541
   0.05085,   0.54947
   0.00212,   0.61480
   0.00372,   0.61931
   0.02884,   0.81462
   0.00000,   0.58370
   0.00133,   0.54371
   0.06430,   0.63152
   0.02701,   0.58145
   0.02759,   0.25976
   0.13907,   0.41647
   0.00035,   0.29838
   0.04293,   0.57142
   0.00006,   0.81962
   0.01055,   0.95032
   0.00046,   0.85153
   0.05987,   1.09906
   0.40823,   1.58492
   0.01829,   1.01711
   0.03125,   1.12422
   0.02807,   1.18053
   0.23125,   1.42743
   0.08636,   0.75543
   0.31934,   0.69440
   0.29791,   0.41528
   0.01331,   1.06531
   0.76202,   1.88678
   0.00121,   1.11154
   0.01421,   1.07252
   1.50510,   2.23651
   3.70161,   2.68657
   0.40748,   1.78748
   0.07376,   1.19605
   0.16485,   1.53159
   0.04633,   1.46848
   0.09278,   1.79655
   0.04489,   1.24691
   0.64352,   1.08034
   0.02876,   1.30476
   0.00586,   1.04456
   0.10342,   1.38996
   0.23568,   1.47994
   2.12158,   2.40238
   1.06061,   0.78561
   0.20761,   1.39503
   0.22613,   1.61537
   0.74905,   0.71874
   0.19953,   1.05708
   0.02896,   1.08167
   0.30268,   0.81203
   0.00602,   1.10765
   0.04370,   0.84443
   0.07078,   0.85681
   0.18500,   0.39903
   0.00144,   0.75449
   0.00697,   0.72396
   0.00685,   0.58977
   0.32513,  -0.03263
   0.00035,   0.44999
   0.10051,   0.97327
   0.45158,   1.60257
   0.02424,   0.76133
   0.33785,   0.71382
   0.06331,   0.53797
   0.00269,   0.70903
   0.00298,   0.97850
   0.24812,   0.73582
   0.12315,   0.32074
   0.01870,   0.67362
   0.09208,   0.31507
   0.28481,   1.38827
   0.16532,   0.19717
   0.01562,   0.68933
   0.00386,   0.72135
   0.00012,   0.76471
   0.00363,   0.91937
   0.12895,   0.57401
   0.04421,   0.68153
   0.09968,   0.55885
   0.00106,   0.78888
   0.10874,   0.72680
   0.09627,   0.49536
   0.03735,   0.66760
   0.11376,   1.22513
   0.26440,   0.45335
   0.01005,   0.45832
   0.00604,   0.67601
   0.12078,   0.18255
   0.02433,   0.65593
   0.39561,   1.53754
   0.21332,   1.36031
   0.10221,   1.37426
   0.00072,   0.97325
  13.36331,   4.73877
  11.64546,   3.67586
   0.07737,   1.81888
   1.66212,   1.00775
   0.18514,   1.25067
   0.00060,   1.37194
   0.00250,   1.54647
   0.00022,   1.29977
   0.02097,   1.19057
   0.21663,   0.84393
   0.51120,   1.69456
