,Var1,Var2,Var3,Var4
1-1,20020102,0.53835930834731371,4.1433939849703361,1.2003144861356674
2-1,20020103,3.1029004886876876,2.3611535081481478,3.1923459329337156
3-1,20020104,-0.52113609546635686,3.1116494577523466,-0.47058910374122576
4-1,20020107,-1.7354014693151676,2.7442578419743935,-0.50927720112898811
5-1,20020108,1.0140605512328982,3.324308501170111,1.2035235533280897
6-1,20020109,-1.5609509018938539,2.8761988584739333,-1.0577509327623247
7-1,20020110,1.2191733013918515,2.9235694275637805,0.97123326334243032
8-1,20020111,-1.288472403659302,3.6555168569292675,-1.0003707926861338
9-1,20020114,0.21937851577140677,2.5160825080239557,-0.26262051860852509
10-1,20020115,1.2735338550169395,2.0178508873937528,1.579857484525693
11-1,20020116,-1.4336114458997073,3.5562108883386401,-2.4308015864048294
12-1,20020117,1.9078480105238604,1.6188097401634607,2.8755974987303645
13-1,20020118,-1.4410336423989811,4.9811836809052332,-5.4576378149324256
14-1,20020122,-3.2809840037796079,3.2216821387831773,-2.5728831166354382
15-1,20020123,-0.56329361899321029,3.7314486262170266,-1.1389467061088787
16-1,20020124,0.83864445559349576,3.3409410024017507,1.4487362971084217
17-1,20020125,-0.62509970698236828,3.1229473056392627,-1.3546334043423869
18-1,20020128,-0.68728792877621459,2.0180207786744413,0.015675209688037484
19-1,20020129,-2.4563472526052621,3.1344783522730153,-2.3310339529984958
20-1,20020130,0.63846984646698246,5.8794081250814427,0.83080842154972245
21-1,20020131,1.0097908461202287,4.2123928637781471,1.3433627541861171
22-1,20020201,-2.3500805537599589,3.2252339722499781,-1.6461277054071743
23-1,20020204,-2.0644327580345845,2.7323504206185829,-2.4802337729009416
24-1,20020205,0.72107818173616778,5.0675365353000226,0.18796229944468834
25-1,20020206,-2.015966003338221,6.2801127657589237,-1.3811465848713844
26-1,20020207,-0.81605915447280353,5.6600081644019564,-0.99834439841828271
27-1,20020208,0.84472551988659106,4.2758763987444963,1.3784159127053108
28-1,20020211,1.8574851957229299,2.789959265475217,0.82129239569947998
29-1,20020212,-0.58038468198002846,1.6477753360708123,-1.6493858989156784
30-1,20020213,2.572014986832194,2.6259521060024857,2.7879798518999799
31-1,20020214,-0.51746557900171908,2.7932570114666331,-0.24289543154027982
32-1,20020215,-2.427940785775462,2.7515501762590899,-2.3955206201486945
33-1,20020219,-1.6992333481083755,1.6023441911680023,-2.1569381375054597
34-1,20020220,0.82153199077721339,3.9850045715558085,1.6074404597838488
35-1,20020221,-2.8190014074505498,4.616755132915638,-3.1032587679887591
36-1,20020222,-0.14646967681235523,6.0358621484039761,-0.12063767081347265
37-1,20020225,1.9315188977939712,3.169446744317844,1.8452599430794692
38-1,20020226,-1.1038576890627816,5.7749603026050007,-0.86713116660872558
39-1,20020227,-1.1578539023697765,4.9670173607500772,-0.2907227357610509
40-1,20020228,-0.75136965511957143,7.1673012018693409,-0.085667785587073553
41-1,20020301,3.8373614415629476,3.589406767760869,5.0470192619425092
42-1,20020304,3.3084758360647726,5.3257300724088275,3.1127172091130362
43-1,20020305,0.13482969881719598,5.916786519414587,-0.34023057704262172
44-1,20020306,1.1379923662762081,3.7778434016214484,0.86020338649959172
45-1,20020307,-1.4797500471456893,4.4940542865246105,-1.4404681202548453
46-1,20020308,0.50164707801512165,3.1765594602859197,1.9421151982699669
47-1,20020311,1.2984147995996231,2.796337758999933,0.60799937860283038
48-1,20020312,0.047973135964429758,3.3305493575418526,-2.8215284897959769
49-1,20020313,0.016106950183836233,3.2998889357872891,-0.73812915361184395
50-1,20020314,-1.4426054540064293,1.8539777299330338,-1.3621095951965145
51-1,20020315,2.4132679767679299,3.3928596596744551,2.0042694516154036
52-1,20020318,-0.94483848058120046,2.8125753985920299,-0.54557259842704653
53-1,20020319,0.096447523952924996,2.4797472195771553,0.14470619134163698
54-1,20020320,-2.1399993611934676,2.085020324659379,-3.4988038328974902
55-1,20020321,1.8999625688562283,2.6313522863442005,2.091127485984412
56-1,20020322,-0.98766234959111188,2.0807376353143106,-1.5104539340203615
57-1,20020325,-2.1056927741437192,1.8910442915717443,-2.0726130517117802
58-1,20020326,-0.033852403843948053,4.548406751072835,-0.23672652245405601
59-1,20020327,1.0320707463068679,4.0012684966981054,0.57393810485057983
60-1,20020328,0.46581351903451917,2.0069876177888295,1.4040010003114389
61-1,20020401,0.91665159688112396,2.2448548528634018,0.22547176235265809
62-1,20020402,-2.7191487697569627,2.17364281491942,-5.2107687034319561
63-1,20020403,-1.9423205857101777,4.2762414471423176,-1.7244840511744464
64-1,20020404,0.83578329495956893,4.7086136801008083,0.23047612365187931
65-1,20020405,-1.7382488037100963,4.3197524853908371,-1.032405040313833
66-1,20020408,5.2204481340548003,4.3075726533493057,2.3343234998830731
67-1,20020409,-4.3766175524956097,3.7129220751179175,-4.1670836885102425
68-1,20020410,2.1004272770531962,7.7957321970392019,2.5459028080599744
69-1,20020411,-2.0060309446674474,5.1035933151337272,-2.7191735641002523
70-1,20020412,1.3865352226043015,3.5893792291764424,2.0596934090622021
71-1,20020415,-0.59974220854135396,3.9127573556491342,-0.41215003239774006
72-1,20020416,2.4692612590371255,2.2399894562373013,3.7361173492807431
73-1,20020417,-2.2953401133084306,4.2432822202504523,-2.0534602441707683
74-1,20020418,-0.74231517958569526,4.5834147312431348,-0.46900665591929069
75-1,20020419,-0.54115520035971088,2.6256507566318383,1.3392270642887283
76-1,20020422,-1.5869103631957593,1.8341896289600328,-2.6427005681129323
77-1,20020423,-3.1462039666601438,5.2267976329458854,-3.0474030424690657
78-1,20020424,-1.5798767482191334,4.3832292067309693,-1.8117555331898405
79-1,20020425,1.5195865053114765,6.717514945983786,1.3288422618715323
80-1,20020426,-5.0195178080960634,6.0385169477999732,-4.240582118944225
81-1,20020429,1.4749387736206376,5.2756810544449335,1.4846508116994617
82-1,20020430,0.28749420855991303,4.9523078640342826,0
83-1,20020501,1.124785473777834,7.8170013916471657,0.95238815112552722
84-1,20020502,-2.7346206245682403,8.7272013204346024,-2.9433691584796584
