,Var1,Var2,Var3,Var4
1-1,20020102,1.3727337024863839,2.4300000000000002,1.9819152943985507
2-1,20020103,2.8576268103317926,1.75,3.331610180962663
3-1,20020104,0.57431586713492244,0.96999999999999997,1.1719272074691034
4-1,20020107,-0.89153636579526463,0.64000000000000001,-0.77312308967356635
5-1,20020108,-0.44176778672886385,0.88,-1.1206841324955974
6-1,20020109,-0.5718969835661003,1.8400000000000001,-1.7663640649415058
7-1,20020110,1.6951289179699458,1.1200000000000001,1.140541895221947
8-1,20020111,0.76768053781943735,1.8799999999999999,0.62582216971955873
9-1,20020114,1.2000144003110336,1.3799999999999999,1.2201371491464386
10-1,20020115,-0.029944602709175427,2.7400000000000002,-0.42835150419660017
11-1,20020116,-1.5083242211328507,2.9700000000000002,-1.4783796184236753
12-1,20020117,0.86667880994362179,1.23,0.96794464138225678
13-1,20020118,-0.93458624182378713,0.93000000000000005,-1.7001016642829825
14-1,20020122,-1.1722499275928833,1.6100000000000001,-1.3356820375146405
15-1,20020123,2.1550346561542977,2.4199999999999999,1.8649992342760768
16-1,20020124,-2.3259255800068157,1.3999999999999999,-2.5291776824990286
17-1,20020125,-0.56291194195101646,2.8399999999999999,-0.39645331009019458
18-1,20020128,1.1696039763191113,0.92000000000000004,0.68757433083601605
19-1,20020129,-3.4221876274010299,2.3999999999999999,-2.8218338937800791
20-1,20020130,-1.4215186601264751,4.0199999999999996,-1.5497512060162144
21-1,20020131,0,2.3700000000000001,0.43290110895854994
22-1,20020201,0.53792491197359737,2.2599999999999998,0.64585800394119097
23-1,20020204,-2.8109958931893164,2.0299999999999998,-2.1692824611259542
24-1,20020205,-0.77476867908261582,3.5600000000000001,-1.3245226750020933
25-1,20020206,-3.2745389240081302,5.0599999999999996,-3.2523191705559729
26-1,20020207,3.0736625648129845,5.4400000000000004,2.3594560961258448
27-1,20020208,2.4819608286492212,2.4100000000000001,1.5131574868909148
28-1,20020211,0.33021493957590131,1.47,0.48468920619773037
29-1,20020212,-0.44023843939329232,1.9199999999999999,-0.37432610041467917
30-1,20020213,0.11055833077495691,1.48,-0.17663948068227242
31-1,20020214,0.50644168577025361,1.5900000000000001,0.61687792007556475
32-1,20020215,0.1535930088015558,3.73,0.17555413769181349
33-1,20020219,0.3068831869212918,3.0699999999999998,0.17524648515712116
34-1,20020220,1.9498018040996268,2.6200000000000001,1.9935654809469128
35-1,20020221,-3.4276434529181277,3.0699999999999998,-4.7450148424735605
36-1,20020222,1.6713480973740591,3.52,1.7837708186021484
37-1,20020225,2.033821726131535,3.23,3.132733883691019
38-1,20020226,0.42598573469572187,2.25,0.76808570485429328
