MSE, Q-LIKE
   1.88342,   1.41381
   0.47843,   1.67800
   0.55556,   1.65717
   1.22868,   1.51624
   0.01238,   1.98964
   2.89725,   1.28583
   1.55764,   1.46206
   1.59123,   1.45687
   1.90584,   1.41065
   1.62506,   1.45169
   0.07477,   2.05258
   0.05309,   2.03588
   1.74073,   1.43439
   3.53771,   1.21645
   1.31976,   1.50058
   0.34679,   1.71790
   1.68460,   1.44271
   1.94324,   1.40542
   4.22497,   1.14869
   2.51827,   1.33055
   3.30512,   1.24086
   3.00292,   1.27389
   1.20227,   1.52089
   3.01843,   1.27216
   3.96850,   1.17328
   3.24494,   1.24731
   2.97800,   1.27669
   3.70731,   1.19916
   1.82870,   1.42161
   2.44754,   1.33926
   2.19277,   1.37173
   2.80384,   1.29657
   0.99783,   1.55876
   1.42241,   1.48357
   3.18592,   1.25370
   0.00231,   1.96511
   2.49156,   1.33383
   2.99043,   1.27529
   1.66264,   1.44600
   2.42430,   1.34215
   2.84962,   1.29128
   2.19988,   1.37080
   3.17635,   1.25474
   0.42721,   1.69278
   3.46048,   1.22447
   1.21013,   1.51950
   2.26506,   1.36233
   0.09698,   1.82559
   0.03166,   2.01552
   2.35192,   1.35124
   1.86018,   1.41711
   1.56505,   1.46091
   0.98672,   1.56092
   0.03955,   1.86927
   0.96050,   1.56608
   2.43420,   1.34092
   1.65157,   1.44767
   0.56831,   1.65387
   2.59146,   1.32166
   2.20326,   1.37036
   0.37654,   1.70830
   2.65346,   1.31423
   1.77343,   1.42960
   0.26702,   1.74590
   3.79353,   1.19052
   1.78148,   1.42843
   0.59806,   1.64631
   2.17734,   1.37376
   1.28236,   1.50695
   1.56011,   1.46168
   0.00534,   1.91810
   3.46418,   1.22408
   3.00183,   1.27401
   1.69901,   1.44056
   3.20711,   1.25140
   3.16417,   1.25607
   4.05636,   1.16477
   3.11302,   1.26167
   1.22242,   1.51734
   0.33454,   1.72197
   1.19019,   1.52304
   2.54713,   1.32703
   1.46297,   1.47701
   1.28460,   1.50656
   2.62844,   1.31722
   3.19177,   1.25306
   2.87416,   1.28847
   3.68159,   1.20176
   4.29764,   1.14186
   3.27070,   1.24454
   3.08562,   1.26469
   2.77627,   1.29977
   4.17028,   1.15387
   2.58088,   1.32294
   4.70058,   1.10499
   4.22748,   1.14845
   2.84132,   1.29224
   4.13660,   1.15708
   0.05591,   2.03822
   0.02636,   1.88344
   1.21146,   1.51927
   2.72300,   1.30600
   4.35763,   1.13626
   3.10191,   1.26290
   2.51166,   1.33136
   4.19416,   1.15161
   3.32143,   1.23912
   1.21544,   1.51857
   3.17217,   2.63771
   0.00050,   1.93776
   1.39649,   1.48780
   1.17883,   1.52506
   1.78143,   1.42843
   1.73417,   1.43535
   3.04473,   1.26922
   1.21123,   1.51931
   1.20505,   1.52040
   0.00787,   1.98088
   1.11252,   1.53708
   0.92752,   1.57267
   1.24954,   1.51261
   0.52889,   1.66420
   0.07439,   2.05231
   0.19355,   1.77571
   1.81611,   1.42342
   3.48051,   1.22238
   4.21274,   1.14985
   2.37247,   1.34865
   1.61263,   1.45359
   1.73147,   1.43575
   1.37207,   1.49183
   2.37450,   1.34839
   2.42253,   1.34237
   3.91068,   1.17894
   2.16890,   1.37487
   2.31715,   1.35566
   1.39370,   1.48826
   1.46826,   1.47617
   2.53252,   1.32881
   2.32061,   1.35521
   0.72572,   1.61582
   0.63045,   1.63829
   1.51643,   1.46851
   1.66817,   1.44517
   3.24853,   1.24693
   1.84791,   1.41886
   4.88923,   1.08827
   1.33452,   1.49810
   1.57448,   1.45945
   3.45013,   1.22555
   0.88238,   1.58188
   3.10849,   1.26217
   3.19356,   1.25287
   2.53778,   1.32817
   2.71658,   1.30676
   3.72508,   1.19737
   2.73073,   1.30509
   3.33805,   1.23735
   4.50594,   1.12259
   4.30648,   1.14103
   3.53442,   1.21679
   4.36744,   1.13535
   2.62123,   1.31809
