MSE, Q-LIKE
   3.71445,   1.70979
   2.51349,   1.80699
   2.42975,   1.81456
   3.09908,   1.75723
   0.20884,   2.38764
   6.48474,   1.53375
   6.24135,   1.54746
   1.18266,   1.94854
   8.52267,   1.42774
   5.26149,   1.60559
   7.59984,   1.47397
   6.52118,   1.53171
   0.49792,   2.05711
   3.83925,   1.70066
   3.40050,   1.73346
   7.46573,   1.48091
   1.71673,   1.88522
   4.39854,   1.66147
   3.11569,   1.75589
   5.76655,   1.57501
   6.62797,   1.52579
   9.66966,   1.37366
   5.92582,   1.56565
   6.97180,   1.50705
   8.99487,   1.40506
   9.48020,   1.38236
   6.10921,   1.55502
   8.63961,   1.42207
   6.79991,   1.51636
   7.55502,   1.47628
   7.01330,   1.50482
   9.94555,   1.36113
   3.03073,   1.76278
   7.04942,   1.50288
   3.10273,   1.75694
   4.90629,   1.62799
   5.85080,   1.57004
   5.87369,   1.56870
   6.71886,   1.52079
   8.56277,   1.42579
   8.49663,   1.42901
   8.45086,   1.43125
   9.10726,   1.39975
   2.71307,   1.78944
   7.43537,   1.48249
   5.03326,   1.61989
   4.84934,   1.63166
   6.91010,   1.51038
   6.25692,   1.54658
   0.02677,   2.21120
   1.58071,   1.90028
   3.47479,   1.72776
   4.57262,   1.64978
   4.75243,   1.63794
   5.85709,   1.56967
   6.30600,   1.54379
   6.69245,   1.52224
   5.51765,   1.58991
   5.54454,   1.58828
   6.57961,   1.52847
   1.50525,   1.90892
   0.00180,   2.26977
   5.03586,   1.61973
   3.19138,   1.74983
   5.23157,   1.60745
   6.36727,   1.54033
   5.33281,   1.60119
   2.48937,   1.80916
   3.45208,   1.72950
   6.69058,   1.52234
   6.38170,   1.53952
   7.57767,   1.47511
   4.92432,   1.62684
   5.93530,   1.56509
   8.81028,   1.41386
   7.93848,   1.45670
   8.62743,   1.42266
   6.41729,   1.53752
   5.24166,   1.60682
   7.40485,   1.48409
   7.10618,   1.49985
   3.67741,   1.71253
   6.94323,   1.50859
   6.95221,   1.50810
   7.16130,   1.49692
   9.55725,   1.37881
   5.17651,   1.61088
   7.65223,   1.47127
   8.52402,   1.42768
   7.48271,   1.48003
   8.74389,   1.41704
   9.51080,   1.38095
   4.52619,   1.65288
   7.84519,   1.46142
   8.49816,   1.42894
   6.51819,   1.53188
   7.46465,   1.48097
   7.19400,   1.49518
   5.13568,   1.61344
   7.51907,   1.47814
   8.57999,   1.42496
   8.37150,   1.43514
   7.44226,   1.48213
   5.21878,   1.60825
   6.18406,   1.55073
   8.76605,   1.41598
   5.55494,   1.58766
   0.78593,   2.00568
   3.88485,   1.69736
   5.25619,   1.60592
   3.21310,   1.74811
   0.10540,   2.35002
   0.88348,   1.99050
   0.94920,   1.98074
   3.59010,   1.71904
   4.21711,   1.67389
   3.17678,   1.75100
   3.67165,   1.71296
   7.96293,   1.45546
   5.79408,   1.57338
   6.57940,   1.52848
   5.46264,   1.59325
   1.01581,   1.97118
   9.13178,   1.39860
   4.49173,   1.65518
   0.29776,   2.10259
   5.26027,   1.60567
   7.86084,   1.46062
   5.82281,   1.57169
   8.34096,   1.43664
   8.89143,   1.40998
   9.26425,   1.39239
   7.49446,   1.47942
   0.31802,   2.41805
   4.71337,   1.64050
   4.56555,   1.65025
   3.45556,   1.72923
   2.22345,   1.83379
   4.01277,   1.68821
   7.24300,   1.49259
   7.09682,   1.50035
   8.05585,   1.45080
   5.53890,   1.58862
   7.77805,   1.46483
   5.96908,   1.56313
   5.03144,   1.62001
   5.20787,   1.60893
   5.38169,   1.59819
  10.66864,   1.32911
   8.82585,   1.41311
   5.79988,   1.57304
   6.93390,   1.50909
   4.37627,   1.66298
   6.98502,   1.50634
   5.60730,   1.58451
   5.64081,   1.58250
   6.15708,   1.55227
   8.18676,   1.44427
   7.72004,   1.46779
   8.64348,   1.42188
   9.28376,   1.39148
   9.29971,   1.39073
   1.66167,   1.89124
   5.90388,   1.56693
   5.25628,   1.60592
   7.84503,   1.46142
   3.79979,   1.70353
   6.52851,   1.53131
   6.72892,   1.52024
   7.01600,   1.50467
   6.36668,   1.54037
   6.75179,   1.51899
   5.98981,   1.56192
   5.80779,   1.57257
   2.01411,   1.85424
   4.39867,   1.66146
   4.29893,   1.66826
   8.85895,   1.41153
   7.21191,   1.49423
   6.16033,   1.55209
   0.03233,   2.30884
   6.23485,   1.54783
   6.32761,   1.54257
   5.80033,   1.57302
   5.73971,   1.57660
   7.16894,   1.49651
   7.40935,   1.48385
   5.66458,   1.58107
   7.62492,   1.47267
   7.80133,   1.46365
   4.75871,   1.63753
   6.13168,   1.55373
   7.20450,   1.49462
   6.43054,   1.53678
   4.15034,   1.67853
   7.05233,   1.50273
   6.26008,   1.54640
   7.72872,   1.46735
   6.37544,   1.53987
   6.39453,   1.53880
   7.68038,   1.46982
   5.72320,   1.57758
   4.92153,   1.62701
   4.51611,   1.65355
   2.63544,   1.79619
   7.87768,   1.45977
   2.75545,   1.78580
   2.73359,   1.78767
   8.40071,   1.43370
   5.09461,   1.61602
   4.48266,   1.65579
   2.99146,   1.76600
   3.21607,   1.74787
   4.70428,   1.64109
   0.69884,   2.02006
   4.85296,   1.63142
   3.43850,   1.73054
   5.45754,   1.59356
   5.54317,   1.58837
   3.90330,   1.69604
   5.35470,   1.59984
   2.71781,   1.78903
   2.94903,   1.76950
   1.30922,   1.93242
   1.09401,   1.96036
   4.62684,   1.64619
   4.05731,   1.68506
   4.96396,   1.62430
   2.86750,   1.77630
   2.86246,   1.77672
   3.57956,   1.71983
   2.81459,   1.78076
   3.39551,   1.73384
   2.18864,   1.83713
   0.19996,   2.13059
   4.38271,   1.66254
