ATVI
ADBE
AMD
ALXN
ALGN
GOOGL
GOOG
AMZN
AAL
AMGN
ADI
AAPL
AMAT
ASML
ADSK
ADP
BIDU
BIIB
BMRN
BKNG
AVGO
CDNS
CELG
CERN
CHTR
CHKP
CTAS
CSCO
CTXS
CTSH
CMCSA
COST
CSX
CTRP
DLTR
EBAY
EA
EXPE
FB
FAST
FISV
FOX
FOXA
GILD
HAS
HSIC
IDXX
ILMN
INCY
INTC
INTU
ISRG
JBHT
KLAC
LRCX
LBTYA
LBTYK
LULU
MAR
MELI
MCHP
MU
MSFT
MDLZ
MNST
MYL
NTAP
NFLX
NVDA
NXPI
ORLY
PCAR
PAYX
PEP
QCOM
REGN
ROST
SIRI
SWKS
SBUX
SYMC
SNPS
TMUS
TTWO
TSLA
TXN
ULTA
UAL
VRSN
VRSK
VRTX
WBA
WDAY
WDC
WLTW
WYNN
XEL
XLNX
